Parent Node,Child Node,Node Name (for NVivo),Description,Exact quantitative evidence (copy/paste),Evidence source file(s)
EDA & Data Integrity,Dataset completeness,Dataset completeness,Dataset has no missing values; supports full-sample statistical testing,"N=5000 rows, 26 columns; missing values: 0 for all columns.","outputs/eda_overview.json; outputs/REPORT.md"
RQ1 Capabilities & Failure Modes,Capability drivers of success,Capability drivers of success,Variables most positively associated with success outcomes (success_rate) in this dataset,"corr(success_rate, performance_index)=0.9805; corr(success_rate, error_recovery_rate)=0.9655; corr(success_rate, accuracy_score)=0.9145; corr(success_rate, efficiency_score)=0.9065","outputs/corr_with_success_rate.csv"
RQ1 Capabilities & Failure Modes,Failure/drag factors,Failure/drag factors,Variables most negatively associated with success outcomes (success_rate) in this dataset,"corr(success_rate, task_complexity)=-0.9340; corr(success_rate, memory_usage_mb)=-0.8988; corr(success_rate, cpu_usage_percent)=-0.7986; corr(success_rate, autonomy_level)=-0.7795; corr(success_rate, cost_per_task_cents)=-0.5274; corr(success_rate, execution_time_seconds)=-0.4468","outputs/corr_with_success_rate.csv"
RQ1 Capabilities & Failure Modes,Near-zero associations (risk proxies),Near-zero associations (risk proxies),Risk proxy fields show near-zero correlation with success_rate in this dataset (interpret cautiously),"corr(success_rate, privacy_compliance_score)=-0.0005; corr(success_rate, bias_detection_score)=0.0044","outputs/corr_with_success_rate.csv"
RQ1 Capabilities & Failure Modes,Performance strata (clustered regimes),High-performing regime (Cluster 1),Cluster typology shows a higher-performing agent regime,"Cluster 1 means: performance_index=0.6573; accuracy_score=0.6813; success_rate=0.6208; autonomous_capability_score=95.6644; privacy_compliance_score=0.8420; bias_detection_score=0.7747","outputs/cluster_profile_means.csv"
RQ1 Capabilities & Failure Modes,Performance strata (clustered regimes),Low-performing regime (Cluster 0),Cluster typology shows a lower-performing agent regime,"Cluster 0 means: performance_index=0.4378; accuracy_score=0.4705; success_rate=0.3666; autonomous_capability_score=108.7142; privacy_compliance_score=0.8419; bias_detection_score=0.7741","outputs/cluster_profile_means.csv"
RQ1 Capabilities & Failure Modes,Unsupervised model fit,K-Means model fit,Chosen cluster solution and separation quality,"K-Means best_k=2; silhouette=0.4284 (k candidates 2–6)","outputs/kmeans_summary.json"
RQ1 Capabilities & Failure Modes,Task-category sensitivity,Accuracy differs by task type,Accuracy varies significantly across task categories,"ANOVA accuracy_score ~ task_category: F=362.4832; df=9,4990; p=0.0","outputs/anova_accuracy_by_task_category.csv; outputs/REPORT.md"
RQ2 Accountability (Proxy) & Controls,Accountability triggers (complexity),Complexity drives intervention need,Higher task complexity is a strong positive predictor of requiring human intervention (accountability proxy),"Logit GLM: coef(task_complexity)=+2.0309; p<0.001 (z=13.497)","outputs/logit_glm_summary.txt"
RQ2 Accountability (Proxy) & Controls,Accountability triggers (accuracy),Low accuracy drives intervention need,Higher accuracy reduces likelihood of intervention required,"Logit GLM: coef(accuracy_score)=-9.9296; p<0.001 (z=-6.264)","outputs/logit_glm_summary.txt"
RQ2 Accountability (Proxy) & Controls,Non-drivers (in model),Autonomy not significant (after controls),Autonomy_level not a significant predictor of intervention required once complexity/accuracy and categories are included,"Logit GLM: coef(autonomy_level)=-0.0117; p=0.823","outputs/logit_glm_summary.txt"
RQ2 Accountability (Proxy) & Controls,Non-drivers (in model),Privacy compliance not significant (after controls),Privacy_compliance_score not a significant predictor of intervention required in this model,"Logit GLM: coef(privacy_compliance_score)=-0.8977; p=0.317","outputs/logit_glm_summary.txt"
RQ2 Accountability (Proxy) & Controls,Model discriminative performance,Near-perfect separability (warning node),Predictive performance for intervention_required is near-perfect; may indicate label determinism/leakage and should be discussed as a validity limitation,"Cross-validated ROC AUC mean=1.000; std=0.000","outputs/logit_accountability.json; outputs/REPORT.md"
RQ2 Privacy vs Efficiency Trade-off,Latency sensitivity (null finding),Privacy not linked to latency (null),No detectable association between privacy_compliance_score and response latency after environment controls (log-latency model),"OLS: coef(privacy_compliance_score)=-0.1887; p=0.212; R^2=0.003","outputs/REPORT.md; outputs/privacy_latency_ols_summary.txt"
RQ3 Critical Trust Thresholds,Trust gap (group difference),Intervention group lower performance,Intervention-required cases have substantially lower performance_index than no-intervention cases,"Welch t-test: mean(no intervention)=0.7680 (n=607); mean(requires)=0.5141 (n=4393); p=0.0; Cohen's d≈2.4550","outputs/trust_gap_ttest.json; outputs/REPORT.md"
RQ3 Critical Trust Thresholds,Boundary variables (importance),Drivers of intervention classification,Features most important for classifying intervention_required (random forest),"RF importance: performance_index=0.3572; error_recovery_rate=0.2886; task_complexity=0.1600; accuracy_score=0.1360; autonomy_level=0.0534","outputs/rf_feature_importance.csv"
RQ3 Critical Trust Thresholds,Decision-rule boundaries (tree),High-intervention rule (very high probability),A high-probability intervention region defined by low performance_index and low error recovery,"Rule: performance_index<=0.71536 AND performance_index<=0.68812 AND error_recovery_rate<=0.77790 => p(intervention)=0.9988","outputs/tree_threshold_rules.json"
RQ3 Critical Trust Thresholds,Decision-rule boundaries (tree),High-intervention rule (high probability),A high-probability intervention region combining lower performance_index and higher accuracy within a narrow band (model-derived rule; interpret carefully),"Rule: performance_index<=0.71536 AND performance_index>0.68812 AND accuracy_score>0.70665 => p(intervention)=0.9191","outputs/tree_threshold_rules.json"
RQ4 Framework Effectiveness (Simulation),Circuit-breaker scope,Trigger rate,Share of cases that meet the circuit-breaker trigger definition used in simulation,"Triggered subset n=1693; trigger_rate=0.3386","outputs/hotl_sim_tests.json; outputs/REPORT.md"
RQ4 Framework Effectiveness (Simulation),Simulated uplift estimate,Estimated uplift under HOTL (as modeled),Regression-adjusted simulation estimates negative uplift under current assumptions/data generating process (treat as a limitation of simulation validity),"Estimated uplift: accuracy=-0.01234; success=-0.03877","outputs/hotl_sim_tests.json; outputs/hotl_outcome_model_accuracy.txt; outputs/hotl_outcome_model_success.txt"
RQ4 Framework Effectiveness (Simulation),Before/after summary,Triggered subset before vs after means,Mean outcomes in triggered subset decrease in this simulation (does not establish causal effect; code as 'simulation result'),"Accuracy mean: 0.4477 -> 0.4354; Success mean: 0.3360 -> 0.2972","outputs/hotl_sim_tests.json; outputs/REPORT.md"
RQ4 Survival / Time-to-failure,Complexity increases failure hazard,Complexity hazard ratio,Task complexity increases hazard of failing (accuracy_score < 0.6) over execution time,"Cox PH: HR(task_complexity)=1.0455; p=0.0080","outputs/cox_survival_summary.txt; outputs/survival_cox.json"
RQ4 Survival / Time-to-failure,Autonomy increases failure hazard (weak),Autonomy hazard ratio,Autonomy level weakly increases hazard of failing (marginal p-value), "Cox PH: HR(autonomy_level)=1.0277; p=0.0600","outputs/cox_survival_summary.txt; outputs/survival_cox.json"
RQ4 Survival / Time-to-failure,Privacy reduces failure hazard (not significant),Privacy hazard ratio,Privacy compliance shows a protective direction but is not statistically significant in this model,"Cox PH: HR(privacy_compliance_score)=0.7234; p=0.1556","outputs/cox_survival_summary.txt; outputs/survival_cox.json"
